rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
1,Zack Wheeler,2 Tms,1443.0,,,,,,,,,,,,
2,Jacob deGrom,2 Tms,1076.0,,,,,,,,,,,,
3,Max Scherzer,5 Tms,1277.0,,,,,,,,,,,,
4,Aaron Nola,PHI,1549.1,,,,,,,,,,,,
5,Gerrit Cole,3 Tms,1374.2,,,,,,,,,,,,
6,Kevin Gausman,5 Tms,1455.0,,,,,,,,,,,,
7,Chris Sale,2 Tms,990.1,,,,,,,,,,,,
8,Justin Verlander,4 Tms,1232.1,,,,,,,,,,,,
9,Sonny Gray,6 Tms,1313.0,,,,,,,,,,,,
10,Luis Castillo,2 Tms,1423.2,,,,,,,,,,,,
11,Clayton Kershaw,LAD,1093.1,,,,,,,,,,,,
12,Logan Webb,SFG,1079.2,,,,,,,,,,,,
13,Max Fried,2 Tms,1082.2,,,,,,,,,,,,
14,Blake Snell,4 Tms,1069.0,,,,,,,,,,,,
15,Charlie Morton,5 Tms,1358.1,,,,,,,,,,,,
16,Shane Bieber,2 Tms,876.2,,,,,,,,,,,,
17,Dylan Cease,3 Tms,1036.0,,,,,,,,,,,,
18,Corbin Burnes,3 Tms,886.0,,,,,,,,,,,,
19,José Berríos,2 Tms,1510.0,,,,,,,,,,,,
20,Framber Valdez,2 Tms,1050.2,,,,,,,,,,,,
21,Yu Darvish,4 Tms,1132.1,,,,,,,,,,,,
22,Tarik Skubal,DET,780.1,,,,,,,,,,,,
23,Lance Lynn,6 Tms,1207.2,,,,,,,,,,,,
24,Patrick Corbin,4 Tms,1492.0,,,,,,,,,,,,
25,Zack Greinke,3 Tms,1122.1,,,,,,,,,,,,
26,Sandy Alcantara,MIA,1097.1,,,,,,,,,,,,
27,Pablo López,2 Tms,965.0,,,,,,,,,,,,
28,Carlos Rodón,3 Tms,975.2,,,,,,,,,,,,
29,Kyle Hendricks,2 Tms,1280.1,,,,,,,,,,,,
30,Nathan Eovaldi,3 Tms,968.0,,,,,,,,,,,,
